address,sum_total,cSum
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,8.41573E+25,8.41573E+25
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,7.7076E+25,1.61233E+26
0xfa52274dd61e1643d2205169732f29114bc240b3,6.7466E+25,2.28699E+26
0x7727e5113d1d161373623e5f49fd568b4f543a9e,4.56271E+25,2.74326E+26
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,4.32763E+25,3.17603E+26
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.96359E+25,3.47239E+26
0xbfc39b6f805a9e40e77291aff27aee3c96915bdd,2.11042E+25,3.68343E+26
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.03649E+25,3.88708E+26
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1.61406E+25,4.04848E+26
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,1.60623E+25,4.20911E+26
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,1.55841E+25,4.36495E+26
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,1.19836E+25,4.48478E+26
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,1.17073E+25,4.60186E+26
0x341e790174e3a4d35b65fdc067b6b5634a61caea,8.379E+24,4.68565E+26
0x94e17901b6dfae329c63edd59447e2882e55aca6,7.57505E+24,4.7614E+26
0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,7.39911E+24,4.83539E+26
0x398ec7346dcd622edc5ae82352f02be94c62d119,6.89639E+24,4.90435E+26
0x07c62a47ebe0fa853bb83375e488896ce71266df,6.20591E+24,4.96641E+26
0xdc6c91b569c98f9f6f74d90f9beff99fdaf4248b,5.44728E+24,5.02088E+26
0x07ee55aa48bb72dcc6e9d78256648910de513eca,4.86751E+24,5.06956E+26
0x111111125434b319222cdbf8c261674adb56f3ae,4.67158E+24,5.11627E+26
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,4.54503E+24,5.16172E+26
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,4.18839E+24,5.20361E+26
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,3.79481E+24,5.24156E+26
0x6ba3ffbd026a4ec164ad477092000b9cf1e4c351,3.6502E+24,5.27806E+26
0x11111254369792b2ca5d084ab5eea397ca8fa48b,3.46654E+24,5.31272E+26
0xd06527d5e56a3495252a528c4987003b712860ee,3.40827E+24,5.34681E+26
0xc83e009c7794e8f6d1954dc13c23a35fc4d039f6,3.34345E+24,5.38024E+26
0x6090a6e47849629b7245dfa1ca21d94cd15878ef,3.33728E+24,5.41361E+26
0x00000000219ab540356cbb839cbe05303d7705fa,3.19544E+24,5.44557E+26
0xa8b39829ce2246f89b31c013b8cde15506fb9a76,3.15452E+24,5.47711E+26
0x58ae42a38d6b33a1e31492b60465fa80da595755,2.90271E+24,5.50614E+26
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,2.84451E+24,5.53459E+26
0x75b613ef1870a7a2836d96a07145bd5b136412fe,2.79034E+24,5.56249E+26
0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2.71106E+24,5.5896E+26
0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,2.69892E+24,5.61659E+26
0x7415c7bf3e2415fa9a55f1fd8b6fccf2914c39a6,2.68519E+24,5.64344E+26
0x4aee792a88edda29932254099b9d1e06d537883f,2.58122E+24,5.66925E+26
0x0b9de8705d125f10ab6885c3ce755f473b5cb897,2.5562E+24,5.69481E+26
0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,2.4211E+24,5.71903E+26
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,2.367E+24,5.7427E+26
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,2.36E+24,5.7663E+26
0x1e143b2588705dfea63a17f2032ca123df995ce0,2.14366E+24,5.78773E+26
