Method,Celestial Gas,Solidity Gas
Deployment,1262587,800621
MakeOffer,67130,67157
ModifyOffer,32210,29332
AcceptOffer,52761,52752
Accept (Buyer),29821,29843
Accept (Seller),32590,32612
Withdraw,33835,32146
